location_name,temperature,humidity,wind_speed,recorded_at
Ho Chi Minh City,26.6,83,10.8,2026-08-23 00:00:00
Ho Chi Minh City,26.6,85,12.1,2026-08-23 01:00:00
Ho Chi Minh City,26.1,87,10.6,2026-08-23 02:00:00
Ho Chi Minh City,25.8,89,8.3,2026-08-23 03:00:00
Ho Chi Minh City,25.6,91,7.6,2026-08-23 04:00:00
Ho Chi Minh City,25.5,91,7.3,2026-08-23 05:00:00
Ho Chi Minh City,25.4,92,7.0,2026-08-23 06:00:00
Ho Chi Minh City,27.0,89,6.5,2026-08-23 07:00:00
Ho Chi Minh City,28.8,82,8.9,2026-08-23 08:00:00
Ho Chi Minh City,30.0,76,13.6,2026-08-23 09:00:00
Ho Chi Minh City,31.1,71,13.7,2026-08-23 10:00:00
Ho Chi Minh City,27.9,81,21.4,2026-08-23 11:00:00
Ho Chi Minh City,28.9,82,11.3,2026-08-23 12:00:00
Ho Chi Minh City,29.5,73,15.7,2026-08-23 13:00:00
Ho Chi Minh City,29.6,74,16.5,2026-08-23 14:00:00
Ho Chi Minh City,29.7,75,14.3,2026-08-23 15:00:00
Ho Chi Minh City,29.5,76,10.6,2026-08-23 16:00:00
Ho Chi Minh City,27.7,84,10.8,2026-08-23 17:00:00
Ho Chi Minh City,27.6,88,8.5,2026-08-23 18:00:00
Ho Chi Minh City,27.4,88,13.8,2026-08-23 19:00:00
Ho Chi Minh City,27.3,87,14.0,2026-08-23 20:00:00
Ho Chi Minh City,27.2,86,13.3,2026-08-23 21:00:00
Ho Chi Minh City,27.1,86,12.0,2026-08-23 22:00:00
Ho Chi Minh City,27.0,87,10.2,2026-08-23 23:00:00
Ho Chi Minh City,26.7,87,10.5,2026-08-24 00:00:00
Ho Chi Minh City,26.5,95,10.2,2026-08-24 01:00:00
Ho Chi Minh City,26.5,95,9.9,2026-08-24 02:00:00
Ho Chi Minh City,26.4,93,10.5,2026-08-24 03:00:00
Ho Chi Minh City,26.2,92,10.7,2026-08-24 04:00:00
Ho Chi Minh City,26.1,91,10.0,2026-08-24 05:00:00
Ho Chi Minh City,26.2,89,9.8,2026-08-24 06:00:00
Ho Chi Minh City,27.5,82,7.9,2026-08-24 07:00:00
Ho Chi Minh City,29.0,78,10.9,2026-08-24 08:00:00
Ho Chi Minh City,30.5,70,14.6,2026-08-24 09:00:00
Ho Chi Minh City,31.5,65,17.1,2026-08-24 10:00:00
Ho Chi Minh City,32.0,58,22.7,2026-08-24 11:00:00
Ho Chi Minh City,30.6,67,20.1,2026-08-24 12:00:00
Ho Chi Minh City,33.3,50,20.5,2026-08-24 13:00:00
Ho Chi Minh City,32.4,62,15.3,2026-08-24 14:00:00
Ho Chi Minh City,31.8,63,17.7,2026-08-24 15:00:00
Ho Chi Minh City,28.8,81,14.0,2026-08-24 16:00:00
Ho Chi Minh City,28.7,80,11.1,2026-08-24 17:00:00
Ho Chi Minh City,28.5,82,10.8,2026-08-24 18:00:00
Ho Chi Minh City,28.3,77,13.4,2026-08-24 19:00:00
Ho Chi Minh City,28.2,74,13.1,2026-08-24 20:00:00
Ho Chi Minh City,27.8,76,13.3,2026-08-24 21:00:00
Ho Chi Minh City,27.5,77,14.5,2026-08-24 22:00:00
Ho Chi Minh City,27.2,80,15.2,2026-08-24 23:00:00
Ha Noi,25.2,93,20.5,2026-08-23 00:00:00
Ha Noi,25.8,93,20.7,2026-08-23 01:00:00
Ha Noi,25.5,94,20.4,2026-08-23 02:00:00
Ha Noi,25.3,94,19.5,2026-08-23 03:00:00
Ha Noi,25.2,94,17.1,2026-08-23 04:00:00
Ha Noi,25.2,95,15.3,2026-08-23 05:00:00
Ha Noi,25.2,96,16.3,2026-08-23 06:00:00
Ha Noi,26.0,94,18.1,2026-08-23 07:00:00
Ha Noi,26.1,94,17.5,2026-08-23 08:00:00
Ha Noi,26.6,93,18.1,2026-08-23 09:00:00
Ha Noi,26.8,92,12.6,2026-08-23 10:00:00
Ha Noi,27.1,92,12.7,2026-08-23 11:00:00
Ha Noi,26.8,94,10.8,2026-08-23 12:00:00
Ha Noi,26.6,92,11.3,2026-08-23 13:00:00
Ha Noi,26.6,91,18.1,2026-08-23 14:00:00
Ha Noi,26.5,92,18.2,2026-08-23 15:00:00
Ha Noi,26.1,94,17.7,2026-08-23 16:00:00
Ha Noi,26.4,94,17.5,2026-08-23 17:00:00
Ha Noi,26.5,94,19.2,2026-08-23 18:00:00
Ha Noi,26.1,92,19.0,2026-08-23 19:00:00
Ha Noi,25.9,91,19.6,2026-08-23 20:00:00
Ha Noi,25.5,91,20.2,2026-08-23 21:00:00
Ha Noi,25.4,92,18.5,2026-08-23 22:00:00
Ha Noi,25.2,93,13.4,2026-08-23 23:00:00
Ha Noi,25.1,96,8.0,2026-08-24 00:00:00
Ha Noi,25.8,95,10.5,2026-08-24 01:00:00
Ha Noi,25.6,95,13.9,2026-08-24 02:00:00
Ha Noi,25.4,94,17.7,2026-08-24 03:00:00
Ha Noi,25.4,96,20.4,2026-08-24 04:00:00
Ha Noi,25.3,96,21.1,2026-08-24 05:00:00
Ha Noi,25.1,98,18.6,2026-08-24 06:00:00
Ha Noi,25.9,96,20.0,2026-08-24 07:00:00
Ha Noi,26.6,93,20.2,2026-08-24 08:00:00
Ha Noi,27.3,92,18.0,2026-08-24 09:00:00
Ha Noi,28.0,94,15.1,2026-08-24 10:00:00
Ha Noi,29.4,89,18.7,2026-08-24 11:00:00
Ha Noi,30.4,80,20.1,2026-08-24 12:00:00
Ha Noi,29.7,86,15.8,2026-08-24 13:00:00
Ha Noi,28.8,88,15.7,2026-08-24 14:00:00
Ha Noi,29.6,82,14.4,2026-08-24 15:00:00
Ha Noi,28.4,92,14.2,2026-08-24 16:00:00
Ha Noi,27.9,93,12.9,2026-08-24 17:00:00
Ha Noi,27.7,95,8.9,2026-08-24 18:00:00
Ha Noi,27.5,96,8.0,2026-08-24 19:00:00
Ha Noi,27.3,96,11.5,2026-08-24 20:00:00
Ha Noi,27.2,95,13.2,2026-08-24 21:00:00
Ha Noi,27.0,97,13.0,2026-08-24 22:00:00
Ha Noi,26.9,96,14.8,2026-08-24 23:00:00
Da Nang,30.4,58,10.9,2026-08-23 00:00:00
Da Nang,30.1,61,9.9,2026-08-23 01:00:00
Da Nang,29.5,64,7.0,2026-08-23 02:00:00
Da Nang,29.2,66,6.5,2026-08-23 03:00:00
Da Nang,28.8,70,3.8,2026-08-23 04:00:00
Da Nang,28.9,69,4.3,2026-08-23 05:00:00
Da Nang,29.1,68,6.5,2026-08-23 06:00:00
Da Nang,31.3,58,8.6,2026-08-23 07:00:00
Da Nang,32.7,50,14.0,2026-08-23 08:00:00
Da Nang,33.9,47,13.9,2026-08-23 09:00:00
Da Nang,35.2,43,13.1,2026-08-23 10:00:00
Da Nang,36.5,41,16.6,2026-08-23 11:00:00
Da Nang,37.7,38,14.1,2026-08-23 12:00:00
Da Nang,38.8,34,16.9,2026-08-23 13:00:00
Da Nang,38.6,35,11.5,2026-08-23 14:00:00
Da Nang,37.0,39,5.9,2026-08-23 15:00:00
Da Nang,36.8,39,3.3,2026-08-23 16:00:00
Da Nang,36.4,40,7.0,2026-08-23 17:00:00
Da Nang,35.2,42,9.2,2026-08-23 18:00:00
Da Nang,35.1,41,6.8,2026-08-23 19:00:00
Da Nang,33.9,47,9.5,2026-08-23 20:00:00
Da Nang,32.7,53,14.2,2026-08-23 21:00:00
Da Nang,32.0,54,13.9,2026-08-23 22:00:00
Da Nang,31.5,56,11.0,2026-08-23 23:00:00
Da Nang,31.1,58,7.9,2026-08-24 00:00:00
Da Nang,31.1,59,7.4,2026-08-24 01:00:00
Da Nang,30.7,60,8.5,2026-08-24 02:00:00
Da Nang,30.3,61,9.8,2026-08-24 03:00:00
Da Nang,30.0,62,7.9,2026-08-24 04:00:00
Da Nang,29.8,62,7.8,2026-08-24 05:00:00
Da Nang,29.8,62,7.8,2026-08-24 06:00:00
Da Nang,31.8,56,8.1,2026-08-24 07:00:00
Da Nang,33.5,49,11.9,2026-08-24 08:00:00
Da Nang,35.1,45,16.9,2026-08-24 09:00:00
Da Nang,36.2,42,17.9,2026-08-24 10:00:00
Da Nang,37.1,39,18.5,2026-08-24 11:00:00
Da Nang,37.6,37,18.1,2026-08-24 12:00:00
Da Nang,38.1,37,18.1,2026-08-24 13:00:00
Da Nang,38.7,36,14.8,2026-08-24 14:00:00
Da Nang,37.8,38,7.8,2026-08-24 15:00:00
Da Nang,36.2,43,5.5,2026-08-24 16:00:00
Da Nang,35.6,42,6.0,2026-08-24 17:00:00
Da Nang,34.6,44,13.6,2026-08-24 18:00:00
Da Nang,33.8,47,13.0,2026-08-24 19:00:00
Da Nang,33.1,50,14.7,2026-08-24 20:00:00
Da Nang,32.4,53,13.2,2026-08-24 21:00:00
Da Nang,31.9,54,12.6,2026-08-24 22:00:00
Da Nang,31.4,56,8.1,2026-08-24 23:00:00
